station_id;station_name;latitude;longitude
8760721;Pilottown, LA;29.1783;-89.2583
8760922;Pilots Station East, S.W. Pass, LA;28.9322;-89.4075
8761305;Shell Beach, LA;29.8683;-89.6730
8761724;Grand Isle, LA;29.2630;-89.9570
8761927;New Canal Station, LA;30.0272;-90.1133
8761955;Carrollton, LA;29.9329;-90.1355
8762075;Port Fourchon, Belle Pass, LA;29.1156;-90.1994
8762482;West Bank 1, Bayou Gauche, LA;29.7886;-90.4203
8762483;I-10 Bonnet Carre Floodway;30.0679;-90.3900
8764044;Berwick, Atchafalaya River, LA;29.6675;-91.2376
8764227;LAWMA, Amerada Pass, LA;29.4496;-91.3381
8764314;Eugene Island, North of, Atchafalaya Bay;29.3675;-91.3839
8766072;Freshwater Canal Locks, LA;29.5517;-92.3052
8767816;Lake Charles, LA;30.2236;-93.2217
8767961;Bulk Terminal, LA;30.1903;-93.3007
8768094;Calcasieu Pass, LA;29.7682;-93.3429
8770475;Port Arthur, TX;29.8671;-93.9310
8770520;Rainbow Bridge, TX;29.9800;-93.8817
8770613;Morgans Point, Barbours Cut, TX;29.6817;-94.9850
8770777;Manchester, TX;29.7262;-95.2658
8770808;High Island, TX;29.5947;-94.3903
8770822;Texas Point, Sabine Pass, TX;29.6894;-93.8419
8770971;Rollover Pass, TX;29.5150;-94.5130
8771013;Eagle Point, Galveston Bay, TX;29.4800;-94.9183
8771341;Galveston Bay Entrance, North Jetty, TX;29.3573;-94.7248
8771450;Galveston Pier 21, TX;29.3100;-94.7933
8771486;Galveston Railroad Bridge, TX;29.3026;-94.8971
8771972;San Luis Pass, TX;29.0806;-95.1308
8772471;Freeport Harbor;28.9357;-95.2942
8772985;Sargent, TX;28.7714;-95.6172
8773037;Seadrift, TX;28.4069;-96.7124
8773146;Matagorda City, TX;28.7101;-95.9140
8773259;Port Lavaca, TX;28.6406;-96.6098
8773701;Port O'Connor, TX;28.4459;-96.3956
8773767;Matagorda Bay Entrance Channel, TX;28.4269;-96.3301
8774230;Aransas Wildlife Refuge, TX;28.2283;-96.7950
8774770;Rockport, TX;28.0217;-97.0467
8775222;Viola Turning Basin;27.8461;-97.5208
8775237;Port Aransas, TX;27.8397;-97.0725
8775241;Aransas, Aransas Pass, TX;27.8366;-97.0391
8775244;Nueces Bay, TX;27.8328;-97.4859
8775283;Ingleside, MODA;27.8217;-97.2033
8775296;USS Lexington, Corpus Christi Bay, TX;27.8117;-97.3900
8775792;Packery Channel, TX;27.6333;-97.2367
8775870;Bob Hall Pier, Corpus Christi, TX;27.5808;-97.2164
8776139;S. Bird Island, TX;27.4844;-97.3181
8776604;Baffin Bay, TX;27.2970;-97.4052
8777812;Rincon Del San Jose, TX;26.8012;-97.4706
8778490;Port Mansfield, TX;26.5576;-97.4257
8779280;Realitos Peninsula, TX;26.2625;-97.2853
8779748;South Padre Island CG Station, TX;26.0725;-97.1669
8779749;SPI Brazos Santiago, TX;26.0675;-97.1547
8779770;Port Isabel, TX;26.0612;-97.2155
9014070;Algonac, MI;42.6211;-82.5267
9014080;St. Clair State Police, MI;42.8122;-82.4856
9014087;Dry Dock, MI;42.9453;-82.4433
9014090;Mouth of the Black River, MI;42.9747;-82.4189
9014096;Dunn Paper, MI;43.0033;-82.4217
9014098;Fort Gratiot, MI;43.0069;-82.4225
9034052;St Clair Shores, MI;42.4732;-82.8792
9044020;Gibraltar, MI;42.0917;-83.1867
9044030;Wyandotte, MI;42.2023;-83.1475
9044036;Fort Wayne, MI;42.2983;-83.0933
9044049;Windmill Point, MI;42.3575;-82.9300
9052000;Cape Vincent, NY;44.1303;-76.3320
9052030;Oswego, NY;43.4642;-76.5118
9052058;Rochester, NY;43.2690;-77.6257
9052076;Olcott, NY;43.3384;-78.7273
9063007;Ashland Ave, NY;43.1000;-79.0599
9063009;American Falls, NY;43.0811;-79.0614
9063012;Niagara Intake, NY;43.0769;-79.0139
9063020;Buffalo, NY;42.8774;-78.8905
9063028;Sturgeon Point, NY;42.6913;-79.0473
9063038;Erie, Lake Erie, PA;42.1539;-80.0758
9063053;Fairport, OH;41.7597;-81.2811
9063063;Cleveland, OH;41.5409;-81.6355
9063079;Marblehead, OH;41.5436;-82.7314
9063085;Toledo, OH;41.6936;-83.4723
9063090;Fermi Power Plant, MI;41.9600;-83.2570
9075002;Lakeport, MI;43.1417;-82.4933
9075014;Harbor Beach, MI;43.8464;-82.6431
9075035;Essexville, MI;43.6404;-83.8468
9075065;Alpena, MI;45.0630;-83.4286
9075080;Mackinaw City, MI;45.8000;-84.7211
9075099;De Tour Village, MI;45.9925;-83.8982
9076024;Rock Cut, MI;46.2648;-84.1912
9076027;West Neebish Island, MI;46.2833;-84.2050
9076033;Little Rapids, MI;46.4858;-84.3017
9076060;U.S. Slip, MI;46.5008;-84.3404
9076070;S.W. Pier, St. Marys River, MI;46.5011;-84.3726
9087023;Ludington, MI;43.9474;-86.4416
9087031;Holland, MI;42.7733;-86.2128
9087044;Calumet Harbor, IL;41.7297;-87.5383
9087057;Milwaukee, WI;43.0020;-87.8876
9087068;Kewaunee, Lake Michigan, WI;44.4640;-87.5010
9087072;Sturgeon Bay Canal, WI;44.7956;-87.3143
9087077;Green Bay East, WI;44.5392;-88.0010
9087088;Menominee, MI;45.0959;-87.5899
9087096;Port Inland, MI;45.9699;-85.8715
9099004;Point Iroquois, MI;46.4845;-84.6309
9099018;Marquette C.G., MI;46.5456;-87.3786
9099044;Ontonagon, MI;46.8744;-89.3242
9099064;Duluth, MN;46.7758;-92.0920
9099090;Grand Marais, Lake Superior, MN;47.7486;-90.3413
9410170;San Diego, San Diego Bay, CA;32.7142;-117.1736
9410230;La Jolla, CA;32.8669;-117.2571
9410660;Los Angeles, CA;33.7199;-118.2729
9410840;Santa Monica, CA;34.0083;-118.5000
9411340;Santa Barbara, CA;34.4031;-119.6928
9411406;Oil Platform Harvest, CA;34.4692;-120.6819
9412110;Port San Luis, CA;35.1688;-120.7542
9413450;Monterey, CA;36.6050;-121.8881
9414290;San Francisco, CA;37.8063;-122.4659
9414523;Redwood City, CA;37.5067;-122.2100
9414750;Alameda, CA;37.7717;-122.3000
9414863;Richmond, CA;37.9230;-122.4096
9415020;Point Reyes, CA;37.9942;-122.9736
9415102;Martinez-Amorco Pier, CA;38.0346;-122.1252
9415144;Port Chicago, CA;38.0560;-122.0395
9416841;Arena Cove, CA;38.9146;-123.7111
9418767;North Spit, CA;40.7663;-124.2172
9419750;Crescent City, CA;41.7456;-124.1844
9431647;Port Orford, OR;42.7390;-124.4983
9432780;Charleston, OR;43.3450;-124.3220
9435380;South Beach, OR;44.6254;-124.0449
9437540;Garibaldi, OR;45.5545;-123.9189
9439040;Astoria, OR;46.2073;-123.7683
9439099;Wauna, OR;46.1617;-123.4089
9439201;St Helens, OR;45.8633;-122.7962
9440083;Vancouver, WA;45.6317;-122.6970
9440422;Longview, WA;46.1061;-122.9542
9440569;Skamokawa, WA;46.2703;-123.4565
9440581;Cape Disappointment, WA;46.2810;-124.0463
9440910;Toke Point, WA;46.7075;-123.9669
9441102;Westport, WA;46.9043;-124.1051
9442396;La Push, Quillayute River, WA;47.9130;-124.6369
9443090;Neah Bay, WA;48.3703;-124.6019
9444090;Port Angeles, WA;48.1250;-123.4400
9444900;Port Townsend, WA;48.1129;-122.7595
9445958;Bremerton, WA;47.5617;-122.6230
9446484;Tacoma, WA;47.2700;-122.4130
9447130;Seattle, WA;47.6019;-122.3392
9449424;Cherry Point, WA;48.8633;-122.7580
9449880;Friday Harbor, WA;48.5467;-123.0100
9450460;Ketchikan, AK;55.3319;-131.6261
9451054;Port Alexander, AK;56.2466;-134.6477
9451600;Sitka, AK;57.0517;-135.3420
9452210;Juneau, AK;58.2988;-134.4106
9452400;Skagway, Taiya Inlet, AK;59.4508;-135.3280
9452634;Elfin Cove, AK;58.1947;-136.3469
9453220;Yakutat, Yakutat Bay, AK;59.5483;-139.7331
9454050;Cordova, AK;60.5583;-145.7550
9454240;Valdez, AK;61.1242;-146.3631
9455090;Seward, AK;60.1200;-149.4267
9455500;Seldovia, AK;59.4405;-151.7199
9455760;Nikiski, AK;60.6833;-151.3981
9455920;Anchorage, AK;61.2375;-149.8904
9457292;Kodiak Island, AK;57.7303;-152.5139
9457804;Alitak, AK;56.8974;-154.2480
9459450;Sand Point, AK;55.3317;-160.5043
9459881;King Cove, AK;55.0599;-162.3261
9461380;Adak Island, AK;51.8633;-176.6320
9461710;Atka, AK;52.2319;-174.1725
9462450;Nikolski, AK;52.9406;-168.8713
9462620;Unalaska, AK;53.8792;-166.5403
9463502;Port Moller, AK;55.9858;-160.5736
9464212;Village Cove, St Paul Island, AK;57.1253;-170.2853
9468333;Unalakleet, AK;63.8714;-160.7843
9468756;Nome, Norton Sound, AK;64.4946;-165.4396
9491094;Red Dog Dock, AK;67.5758;-164.0644
9497645;Prudhoe Bay, AK;70.4114;-148.5317
9751364;Christiansted Harbor, St Croix, VI;17.7477;-64.6984
9751381;Lameshur Bay, St John, VI;18.3182;-64.7242
9751401;Lime Tree Bay, VI;17.6947;-64.7538
9751639;Charlotte Amalie, VI;18.3358;-64.9200
9752235;Culebra, PR;18.3009;-65.3025
9752619;Isabel Segunda, Vieques Island, PR;18.1525;-65.4439
9752695;Esperanza, Vieques Island, PR;18.0939;-65.4714
9755371;San Juan, La Puntilla, San Juan Bay, PR;18.4592;-66.1164
9757809;Arecibo, PR;18.4805;-66.7024
9759110;Magueyes Island, PR;17.9701;-67.0464
9759394;Mayaguez, PR;18.2189;-67.1625
9759938;Mona Island;18.0899;-67.9385
